nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
7650.0,3.841000e-28,8.712000e-30,3.800000
7660.0,3.573000e-28,7.602000e-30,3.831000
7670.0,3.304000e-28,6.494000e-30,3.874000
7680.0,3.065000e-28,5.588000e-30,3.942000
7690.0,2.851000e-28,4.802000e-30,4.005000
7700.0,2.634000e-28,4.184000e-30,4.099000
7710.0,2.448000e-28,3.626000e-30,4.193000
7720.0,2.275000e-28,3.180000e-30,4.290000
7730.0,2.114000e-28,2.819000e-30,4.387000
7740.0,1.965000e-28,2.487000e-30,4.497000
7750.0,1.830000e-28,2.197000e-30,4.617000
7760.0,1.707000e-28,1.951000e-30,4.715000
7770.0,1.591000e-28,1.746000e-30,4.805000
7780.0,1.484000e-28,1.574000e-30,4.894000
7790.0,1.386000e-28,1.415000e-30,4.991000
7800.0,1.294000e-28,1.275000e-30,5.084000
7810.0,1.209000e-28,1.156000e-30,5.161000
7820.0,1.131000e-28,1.054000e-30,5.236000
7830.0,1.056000e-28,9.632000e-31,5.300000
7840.0,9.901000e-29,8.898000e-31,5.368000
7850.0,9.263000e-29,8.142000e-31,5.454000
7860.0,8.680000e-29,7.473000e-31,5.529000
7870.0,8.137000e-29,6.887000e-31,5.589000
7880.0,7.627000e-29,6.352000e-31,5.654000
7890.0,7.158000e-29,5.863000e-31,5.714000
7900.0,6.715000e-29,5.419000e-31,5.786000
7910.0,6.305000e-29,5.017000e-31,5.838000
7920.0,5.927000e-29,4.632000e-31,5.886000
7930.0,5.568000e-29,4.297000e-31,5.947000
7940.0,5.242000e-29,3.994000e-31,5.987000
7950.0,4.935000e-29,3.729000e-31,6.032000
7960.0,4.648000e-29,3.488000e-31,6.071000
7970.0,4.383000e-29,3.262000e-31,6.099000
7980.0,4.137000e-29,3.052000e-31,6.122000
7990.0,3.909000e-29,2.854000e-31,6.136000
8000.0,3.697000e-29,2.666000e-31,6.147000
8010.0,3.500000e-29,2.507000e-31,6.151000
8020.0,3.321000e-29,2.380000e-31,6.144000
8030.0,3.156000e-29,2.284000e-31,6.129000
8040.0,3.006000e-29,2.218000e-31,6.104000
8050.0,2.868000e-29,2.188000e-31,6.063000
8060.0,2.745000e-29,2.186000e-31,6.008000
8070.0,2.638000e-29,2.274000e-31,5.936000
8080.0,2.545000e-29,2.411000e-31,5.835000
8090.0,2.469000e-29,2.632000e-31,5.713000
8100.0,2.405000e-29,2.946000e-31,5.572000
8110.0,2.369000e-29,3.377000e-31,5.404000
8120.0,2.344000e-29,4.136000e-31,5.225000
8130.0,2.350000e-29,5.091000e-31,5.042000
8140.0,2.371000e-29,6.500000e-31,4.880000
8150.0,2.491000e-29,8.029000e-31,4.718000
8160.0,2.535000e-29,1.060000e-30,4.576000
8170.0,2.730000e-29,1.353000e-30,4.460000
8180.0,3.067000e-29,1.687000e-30,4.355000
8190.0,3.322000e-29,2.032000e-30,4.234000
8200.0,3.630000e-29,2.297000e-30,4.111000
8210.0,4.045000e-29,2.614000e-30,3.975000
8220.0,4.524000e-29,3.012000e-30,3.888000
8230.0,4.981000e-29,3.333000e-30,3.766000
8240.0,5.613000e-29,3.598000e-30,3.683000
8250.0,6.051000e-29,3.817000e-30,3.633000
8260.0,6.538000e-29,3.976000e-30,3.637000
8270.0,6.892000e-29,4.094000e-30,3.669000
8280.0,7.601000e-29,5.070000e-30,3.702000
8290.0,8.194000e-29,6.520000e-30,3.739000
8300.0,8.806000e-29,8.376000e-30,3.804000
8310.0,9.450000e-29,9.522000e-30,3.870000
8320.0,9.745000e-29,9.704000e-30,3.916000
8330.0,1.009000e-28,1.011000e-29,3.948000
8340.0,1.017000e-28,1.017000e-29,3.943000
8350.0,1.039000e-28,9.629000e-30,3.971000
8360.0,1.061000e-28,8.527000e-30,3.980000
8370.0,1.076000e-28,8.054000e-30,3.982000
8380.0,1.086000e-28,8.269000e-30,3.967000
8390.0,1.111000e-28,9.019000e-30,3.950000
8400.0,1.142000e-28,1.023000e-29,3.947000
8410.0,1.160000e-28,1.181000e-29,3.920000
8420.0,1.174000e-28,1.245000e-29,3.888000
8430.0,1.180000e-28,1.226000e-29,3.819000
8440.0,1.187000e-28,1.182000e-29,3.756000
8450.0,1.194000e-28,1.109000e-29,3.689000
8460.0,1.192000e-28,9.835000e-30,3.618000
8470.0,1.224000e-28,9.044000e-30,3.523000
8480.0,1.245000e-28,8.157000e-30,3.405000
8490.0,1.246000e-28,7.184000e-30,3.303000
8500.0,1.318000e-28,6.295000e-30,3.206000
8510.0,1.377000e-28,5.480000e-30,3.098000
8520.0,1.471000e-28,4.895000e-30,2.963000
8530.0,1.582000e-28,4.520000e-30,2.816000
8540.0,1.713000e-28,4.485000e-30,2.667000
8550.0,1.853000e-28,4.574000e-30,2.521000
8560.0,2.063000e-28,4.856000e-30,2.390000
8570.0,2.270000e-28,5.356000e-30,2.261000
8580.0,2.567000e-28,6.406000e-30,2.135000
8590.0,2.891000e-28,8.013000e-30,2.031000
8600.0,3.264000e-28,1.006000e-29,1.988000
8610.0,3.744000e-28,1.236000e-29,1.995000
8620.0,4.286000e-28,1.568000e-29,2.044000
8630.0,4.915000e-28,2.118000e-29,2.105000
8640.0,5.623000e-28,2.955000e-29,2.189000
8650.0,6.336000e-28,4.231000e-29,2.315000
8660.0,7.293000e-28,5.827000e-29,2.445000
8670.0,8.309000e-28,7.819000e-29,2.592000
8680.0,9.319000e-28,1.009000e-28,2.745000
8690.0,1.091000e-27,1.240000e-28,2.907000
8700.0,1.243000e-27,1.460000e-28,3.070000
